#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
λ			
δ			
ε	ε	ουσιαστικό	άκλιτο
	ε	επιφώνημα	
ζ			
καθίστε			
η	η	ουσιαστικό	άκλιτο
επιμένει			
α			
β			
σουηδών			
έγνοιες			
ή	ή	 σύνδεσμος	 διαχωριστικό
εκατέβαινε			
γράφουν	γράφω	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
ταραχή	ταραχή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φρανκ			
προσπάθησε	προσπαθώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
μικροσκοπικό	μικροσκοπικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
εγύρισε			
ανάμεσα	ανάμεσα	επίρρημα	
ανάμεσα	ανάμεσα	επίρρημα	
δάχτυλα	δάχτυλο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
τύποι	τύπος	ουσιαστικό	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
ατελεύτητο	ατελεύτητος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
πρωί			
αδέσποτου	αδέσποτος	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, γενική
καταλήγει			
φτάνει			
προβλήματα	πρόβλημα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ανακάλυψε	ανακαλύπτω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
εμπρός			
λεοπάρδαλη	λεοπάρδαλη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
βρισκόμαστε			
ξεχώριζαν	ξεχωρίζω	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
κατάπιε			
γκαπ			
βρήκε			
γείτονα	γείτονας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
στο			
ντροπαλά	ντροπαλός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
προσέξεις	προσέχω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 2ο πρόσωπο
καθιστούς	καθιστός	επίθετο	αρσενικό, πληθυντικός, αιτιατική
σηκώθηκε	σηκώνω	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
στη			
ταρακουνώντας	ταρακουνώ	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
όμορφος	όμορφος	επίθετο	αρσενικό, ενικός, ονομαστική
στα			
σίφνου			
έβγαλε			
ζήσουν	ζω	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
μήπως	μήπως	σύνδεσμος	
τύλιξε	τυλίγω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
στριφογύρισε	στριφογυρίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
καφενείων	καφενείο	ουσιαστικό	ουδέτερο, πληθυντικός, γενική
μυθιστόρημα	μυθιστόρημα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
έριξε			
σπανιότερα			
νηστικοί	νηστικός	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
	νηστικός	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
ταχύτητα	ταχύτητα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
τρίτης	τρίτος	επίθετο	θηλυκό, ενικός, γενική
	τρίτη	ουσιαστικό	θηλυκό, ενικός, γενική
έριξα			
θύελλα	θύελλα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φανέλας	φανέλα	ουσιαστικό	θηλυκό, ενικός, γενική
επιθετικούς	επιθετικός	επίθετο	αρσενικό, πληθυντικός, αιτιατική
απέναντι	απέναντι	επίρρημα	
μητέρα	μητέρα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φρενών	φρένες	ουσιαστικό	θηλυκό, πληθυντικός, γενική
φανταστεί	φαντάζομαι	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
εικόνες	εικόνα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
ακρίβειας	ακρίβεια	ουσιαστικό	θηλυκό, ενικός, γενική
	ακρίβεια	ουσιαστικό	θηλυκό, ενικός, γενική
έτρεξαν	τρέχω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
ω	ω	ουσιαστικό	άκλιτο
	ω	επιφώνημα	
χιμάει	χιμάω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
για	για	πρόθεση	
	για	σύνδεσμος	
ό			
ελεεινός	ελεεινός	επίθετο	αρσενικό, ενικός, ονομαστική
πέσει			
σ	σε	 πρόθεση	 με έκθλιψη
μάλλινο	μάλλινος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
χ			
ψέματα	ψέμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
όνομα	όνομα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ξεφτισμένη			
τ			
κάποιος			
ορμήνεια			
κάποιοι			
δεξί	δεξής	επίθετο	ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
κάποιον			
ματάκια	ματάκιας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
όρμησαν	ορμώ	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
δειλά	δειλός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αυστηρά	αυστηρός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κουβάλησε	κουβαλώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
πιτσιρικάς	πιτσιρικάς	ουσιαστικό	αρσενικό, ενικός, ονομαστική
αρετών	αρετή	ουσιαστικό	θηλυκό, πληθυντικός, γενική
ξαναρχίσω	ξαναρχίζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
αγαπώ	αγαπώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
έσκαγες	σκάω	 ρήμα	 ενεργητική, παρατατικός, οριστική, ενικός, 2ο πρόσωπο
κυρία	κυρία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
κοιμόμουν	κοιμούμαι	ρήμα	παθητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
πάρουν			
μουσεία	μουσείο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
έντονο	έντονος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
πασά	πασάς	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
ρουμάνα			
γεμίζουν	γεμίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
μεταχειρίζονται	μεταχειρίζομαι	ρήμα	παθητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
τρόπο	τρόπος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
λάβει			
βουή	βουή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
έντονη	έντονος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
διάλογος	διάλογος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
έγλειφε	γλείφω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
βεντάλιες			
πουλάκι			
ρυθμός	ρυθμός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
βγες			
επίδραση	επίδραση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ελαφρά	ελαφρός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
εκτός	εκτός	επίρρημα	
πλησίαζε	πλησιάζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
βγει	βγαίνω	 ρήμα	 ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
ντελ			
χρειάζεται	χρειάζομαι	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
αγνοώντας	αγνοώ	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
παπά	παπάς	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
τούτα	τούτος	 αντωνυμία	 ουδέτερο, δεικτική, πληθυντικός, ονομαστική, αιτιατική
τίποτα			
αποδιώχνει	αποδιώχνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
βρεθεί			
στήνει			
μύτη	μύτη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
διαμαρτυριών	διαμαρτυρία	ουσιαστικό	θηλυκό, πληθυντικός, γενική
στολή	στολή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
τίποτε			
λεγόμενα			
μαλακά	μαλακός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	μαλακός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
τους			
παρά	παράς	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
	παρά	πρόθεση	
έγλειψε	γλείφω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
ευχαριστώ	ευχαριστώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
επειδή	επειδή	σύνδεσμος	
απαραίτητες	απαραίτητος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
ταξιάρχες	ταξιάρχης	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
τούτη			
sunset			
συγκρατηθεί	συγκρατώ	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
ξέρετε			
παπα	πάπας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
ξύλινους	ξύλινος	επίθετο	αρσενικό, πληθυντικός, αιτιατική
τούτο			
επήγαιναν			
ασταθείς	ασταθής	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, ονομαστική
αντίκρισε	αντικρίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
ευρύ	ευρύς	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			αρσενικό, ενικός, κλητική
			ουδέτερο, ενικός, κλητική
			αρσενικό, ενικός, γενική
λόγο	λόγος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
όλ’			
μπόρεσε	μπορώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
μπόρεσα	μπορώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 1ο πρόσωπο
άξιο	άξιος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
απόχρωση	απόχρωση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
παραμικρή	παραμικρός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
χαθείς			
καταντήσουν	καταντώ	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
δεις			
άδικα	άδικο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	άδικος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
συνεχίσω	συνεχίζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
έπειτα	έπειτα	επίρρημα	
ημερολόγιο	ημερολόγιο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
περιορίζεται	περιορίζω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
φαντασία	φαντασία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ήσυχα	ήσυχος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
συμπεριφορές	συμπεριφορά	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
σιμά	σιμά	επίρρημα	
ψαράδες	ψαράς	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
πεινασμένος			
αυλάκια	αυλάκι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
γινόταν			
βάδιζε	βαδίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
κατρακυλάει	κατρακυλώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ήσυχο	ήσυχος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
προς	προς	πρόθεση	
δάγκωμα	δάγκωμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ιδιοτροπία	ιδιοτροπία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
τίποτ			
διόρισαν	διορίζω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
λυγμούς	λυγμός	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
ζήλεψα	ζηλεύω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 1ο πρόσωπο
χουλιαρά			
μισοφέγγαρα	μισοφέγγαρο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
λόγω	λόγω	πρόθεση	
άφησε			
ολοφάνερο	ολοφάνερος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
άφησα			
γρασίδι	γρασίδι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
τύχη	τύχη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
σοφός	σοφός	επίθετο	αρσενικό, ενικός, ονομαστική
ακρίβεια	ακρίβεια	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
	ακρίβεια	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
γρονθοκοπάει	γρονθοκοπώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
οικισμού	οικισμός	ουσιαστικό	αρσενικό, ενικός, γενική
σωματικά	σωματικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αντίπαλες	αντίπαλος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
απομεσήμερο	απομεσήμερο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ανίκανος	ανίκανος	επίθετο	αρσενικό, ενικός, ονομαστική
δεν	δε	 μόριο	 
αυξάνει			
βοηθός	βοηθός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
	βοηθός	ουσιαστικό	θηλυκό, ενικός, ονομαστική
δει	βλέπω	 ρήμα	 ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
ύφαλα	ύφαλα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
όσοι			
συνετή	συνετός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
γαλανό	γαλανός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ημερολόγιο	ημερολόγιο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κρατηθείς	κρατώ	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 2ο πρόσωπο
νύχτα	νύχτα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πλατεία	πλατεία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
περνάει	περνώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
χρήσιμες	χρήσιμος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
διαλαλεί	διαλαλώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
νιόνιος			
έκανες			
εισπράττοντας			
έχουν	έχω	 ρήμα	 ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
ορισμένες	ορισμένος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
έδεσαν	δένω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
παίζανε	παίζω	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
γέννησε	γεννώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
χάιδεψε	χαϊδεύω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
αμαλασούνθας			
αγριέψει	αγριεύω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
τάχα	τάχα	επίρρημα	
λόφους	λόφος	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
αβάσταχτο	αβάσταχτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
δωσε			
χαμός	χαμός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
γινότανε			
λάδι	λάδι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
αναγκάστηκε	αναγκάζω	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
βλέπω			
εσχόλασε			
τζαμί	τζαμί	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
αντικρίζουν	αντικρίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
άραγε	άραγε	επίρρημα	
προελεύσεως	προέλευση	ουσιαστικό	θηλυκό, ενικός, γενική
ελληνικός	ελληνικός	επίθετο	αρσενικό, ενικός, ονομαστική
ομορφότερο			
κατοικούν	κατοικώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
ξάπλωσαν	ξαπλώνω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
’ταν			
μύλο	μύλος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
εσένα			
βάναυσα	βάναυσος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ευχή	ευχή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
διάφοροι	διάφοροι	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
παλιοπάπουτσα			
άσφαλτο	άσφαλτος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
	άσφαλτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	άσφαλτος	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, αιτιατική
κινήσεις	κίνηση	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
	κινώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 2ο πρόσωπο
δίχως	δίχως	πρόθεση	
σπάσιμο	σπάσιμο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κόσμου	κόσμος	ουσιαστικό	αρσενικό, ενικός, γενική
βαριά	βαριά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
	βαρύς	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
βουτήξει	βουτάω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
άχρηστος	άχρηστος	επίθετο	αρσενικό, ενικός, ονομαστική
αυτοσχεδίαζε	αυτοσχεδιάζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
παρακαλώ	παρακαλώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
μάρκαρε	μαρκάρω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
ναν			
εξακολουθεί	εξακολουθώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
κόσμος	κόσμος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
περάσει			
ναι	ναι	επίρρημα	
πανταλόνι	πανταλόνι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
